Constraining,ar6_chapter7,ar6_chapter7,ar6_chapter7,ar6_chapter7,mh_sampler,mh_sampler,mh_sampler,mh_sampler
Sampling,ar6,ar6_orig,mce-2l,s21,ar6,ar6_orig,mce-2l,s21
Sequence,,,,,,,,
460,2816,2574,3721,2774,1820,34714,5890,14478
461,2832,2580,3730,2787,49258,40959,30512,32986
462,2835,2584,3734,2788,16502,13864,16639,17572
463,2839,2585,3739,2793,42251,1612,13364,1221
464,2841,2587,3764,2794,40784,45490,25425,13626
465,2842,2592,3767,2799,24082,21139,49125,48995
466,2843,2602,3775,2801,31669,41138,371,5560
467,2846,2604,3789,2803,49740,30535,7787,16905
468,2849,2607,3791,2805,3988,48204,26656,44249
469,2862,2618,3792,2807,6576,12684,39092,24237
470,2863,2629,3796,2816,20031,28946,8578,20278
471,2866,2630,3815,2818,47976,10456,4160,10705
472,2868,2631,3836,2819,27844,43163,2674,24575
473,2892,2638,3837,2822,2867,30443,28398,24575
474,2901,2644,3839,2826,13993,49617,1686,28230
475,2921,2647,3844,2836,33094,35831,29051,6684
476,2931,2650,3849,2839,39911,40364,32739,44793
477,2935,2652,3852,2840,40117,38245,42034,19551
478,2941,2675,3858,2846,39988,25401,12478,17940
479,2953,2687,3886,2850,18565,35272,13128,28724
480,2959,2690,3908,2854,19857,5865,42170,17203
481,2961,2696,3912,2858,37989,12102,29051,29806
482,2974,2697,3914,2864,25576,24921,47893,33582
483,2979,2701,3934,2866,40303,3292,37317,48281
484,2987,2702,3944,2870,29486,10650,20275,43413
485,2989,2705,3951,2875,3276,27030,46055,43523
486,2996,2714,3960,2877,40550,19259,1354,48790
487,3004,2718,3974,2886,33255,4210,46227,48454
488,3021,2736,3984,2896,4334,44840,10136,26814
489,3022,2761,3988,2901,19806,32674,25668,23768
490,3030,2764,3995,2911,34117,25508,43513,248
491,3037,2773,4012,2918,18361,17749,36229,46185
492,3041,2774,4016,2920,10858,12305,3984,4848
493,3043,2778,4017,2924,338,29711,20406,2840
494,3069,2779,4026,2932,43242,30632,3419,36346
495,3072,2787,4043,2934,14513,31014,31252,13918
496,3073,2790,4048,2938,31928,48615,44365,36977
497,3076,2796,4052,2941,39377,22507,41951,45536
498,3092,2798,4061,2956,26295,18780,49376,47249
499,3097,2830,4073,2961,31791,3537,44786,31227
500,3098,2832,4077,2970,2147,17526,21827,27402
501,3099,2835,4078,2976,3273,5138,27037,32147
502,3102,2850,4079,2978,10667,16449,26815,33895
503,3109,2862,4098,2980,15224,26233,8463,19601
504,3125,2864,4112,2986,17821,46641,22094,30007
505,3141,2868,4115,2992,35279,43091,21953,24462
506,3155,2874,4121,2993,43845,10069,47780,18177
507,3160,2892,4125,3001,33080,36983,14984,37737
508,3163,2910,4135,3006,49868,22821,45776,37230
509,3180,2915,4138,3007,14466,34714,37913,9090
510,3183,2932,4145,3008,48517,41523,36824,38022
511,3192,2935,4149,3012,4697,18031,23057,35118
512,3197,2936,4160,3019,42866,17868,21827,30700
513,3215,2940,4161,3020,13442,13908,22719,11017
514,3216,2941,4164,3022,6041,32570,39368,41495
515,3228,2944,4168,3029,28658,42126,23979,5560
516,3235,2953,4171,3030,46099,34297,2047,23609
517,3252,2973,4187,3038,31762,48038,18312,36346
518,3256,2974,4188,3040,34318,6493,14905,1587
519,3258,2978,4194,3042,31376,48380,45820,18758
520,3271,2991,4214,3045,37174,31275,45409,32510
521,3276,2996,4235,3048,36764,39755,24983,10584
522,3285,2999,4242,3055,22964,6660,38494,25760
523,3288,3001,4243,3063,23339,25195,26592,42379
524,3294,3004,4258,3068,31299,22701,42967,10853
525,3295,3010,4261,3074,18427,49131,32444,11312
526,3296,3015,4286,3079,1311,34825,11713,35489
527,3298,3020,4288,3088,27994,26251,33143,14037
528,3300,3022,4295,3094,21475,42159,40456,14037
529,3315,3046,4303,3098,21214,34286,30897,27901
530,3318,3048,4313,3099,3875,7098,15068,47706
531,3320,3059,4317,3102,15722,34314,9786,49485
532,3322,3083,4347,3104,7356,25195,26100,43626
533,3334,3085,4349,3105,16338,45680,36088,21649
534,3348,3089,4373,3111,17993,41098,47760,25416
535,3359,3090,4376,3124,40594,22651,36305,2691
536,3370,3092,4378,3127,30343,44284,13290,22722
537,3371,3099,4381,3129,20033,36706,38206,28571
538,3376,3104,4389,3130,10266,47696,37807,33946
